Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,TG,CD,,,4,live,,T,W
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,AF,CD,,,5,live,,T,W
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,AM,UA,BY,,1,live,,Q,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,BA,CZ,FR,2,,live,Number of specimens,T,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,BA,CZ,FR,,2,live,,T,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,GE,AM,UA,1,,live,Number of specimens,Q,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,GE,AM,,,1,live,Number of specimens,Q,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,RS,CZ,FR,1,,live,Number of specimens,Z,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,RS,CZ,FR,,1,live,,T,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,RS,DE,,1,,live,Number of specimens,Z,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,RS,DE,,,1,live,,Z,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,SG,PT,,1,1,live,Number of specimens,Z,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,GE,UA,,1,live,Number of specimens,Q,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CZ,FR,,1,live,,T,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CZ,,1,,live,Number of specimens,Z,C
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,ZA,UG,,4,,live,,T,W
2020,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,ZA,UG,,,2,live,,Z,C
2020,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,AE,CD,,,10,live,,T,W
2020,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,AF,CD,,,5,live,,T,W
2020,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,CD,ZW,,5,,live,,L,I
2020,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,GA,,,49,specimens,Number of specimens,S,W
2020,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,GA,,51,,specimens,,S,W
2020,II,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,AF,CD,,,5,live,,T,W
2020,II,Chlorocebus spp.,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,ZA,,1,,skulls,,H,W
2020,II,Chlorocebus spp.,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,ZA,,1,,trophies,,H,W
2020,II,Chlorocebus spp.,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,ZA,,1,,trophies,,P,W
2020,II,Chlorocebus spp.,Mammalia,Primates,Cercopithecidae,Chlorocebus,US,AT,JP,,449.6,extract,g,M,O
2020,II,Chlorocebus spp.,Mammalia,Primates,Cercopithecidae,Chlorocebus,US,AT,JP,,1598,extract,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AE,FR,,,2,skeletons,Number of specimens,T,C
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AL,DE,XX,,1.5,specimens,ml,T,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,US,XX,50,,extract,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,AT,US,XX,,55,specimens,Number of specimens,M,O
